                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.76072,                0.52928,                0.97339,                0.95225,                0.80229,                0.90482,                0.72654,                0.67613,                0.63521,                 0.9807,             0.00078103,             0.00078103,             0.00078103
                     92,                0.76782,                0.51878,                0.98333,                0.91321,                0.85738,                0.89612,                0.76221,                0.64817,                0.57433,                0.96492,             0.00077737,             0.00077737,             0.00077737
                     93,                0.74884,                0.52967,                0.97009,                0.92499,                0.86123,                 0.9228,                0.78454,                0.65363,                0.55525,                0.95333,              0.0007737,              0.0007737,              0.0007737
                     94,                0.76373,                0.52825,                0.97299,                0.95335,                0.76574,                0.89104,                 0.7458,                0.68043,                 0.5951,                0.98894,             0.00077003,             0.00077003,             0.00077003
                     95,                0.78911,                0.55245,                 0.9858,                0.98386,                 0.7385,                0.90524,                0.75523,                0.67422,                0.63612,                0.95805,             0.00076637,             0.00076637,             0.00076637
                     96,                0.73518,                0.49393,                0.95105,                0.90813,                0.86346,                0.92232,                0.75712,                0.67149,                0.58147,                0.92611,              0.0007627,              0.0007627,              0.0007627
                     97,                0.72876,                0.51154,                0.95788,                0.93803,                0.82807,                0.93008,                0.77651,                0.62276,                0.50545,                0.90827,             0.00075904,             0.00075904,             0.00075904
                     98,                0.80188,                0.53209,                0.99002,                0.94517,                 0.8037,                0.92182,                0.77887,                0.61274,                0.54381,                0.90746,             0.00075537,             0.00075537,             0.00075537
                     99,                0.74437,                0.50352,                0.96793,                0.97193,                0.80554,                0.92326,                  0.747,                 0.7591,                0.53816,                0.94279,              0.0007517,              0.0007517,              0.0007517
                    100,                0.75561,                0.50942,                0.95446,                0.97793,                0.78645,                0.92205,                0.75311,                0.67058,                0.53072,                0.93632,             0.00074804,             0.00074804,             0.00074804
                    101,                0.73059,                0.50837,                0.97223,                0.97912,                0.79422,                 0.9322,                 0.7532,                0.66642,                0.55452,                  0.945,             0.00074437,             0.00074437,             0.00074437
                    102,                0.78064,                0.52605,                 0.9726,                0.97485,                0.81454,                0.90599,                0.74388,                0.74163,                0.58492,                0.99291,              0.0007407,              0.0007407,              0.0007407
                    103,                 0.7502,                0.52021,                0.97754,                0.96419,                0.82334,                0.92836,                0.76403,                0.70724,                0.56459,                 0.9882,             0.00073704,             0.00073704,             0.00073704
